variante,ciclo,endereco,endereco_norm
hash,2572617,80795072,9955504
hash,2572618,80795120,9955510
hash,2572619,80788400,9954670
hash,2572620,67457372,8288291
hash,2572621,67457368,8288291
hash,2572622,137422173784,17177627843
hash,2572623,137422173800,17177627845
hash,2572624,137422173816,17177627847
hash,2572625,137422173824,17177627848
hash,2572626,137422173832,17177627849
hash,2572627,137422173840,17177627850
hash,2572628,137422173848,17177627851
hash,2572629,137422173856,17177627852
hash,2572630,137422173864,17177627853
hash,2572631,80795072,9955504
hash,2572632,80795208,9955521
hash,2572633,80822336,9958912
hash,2572634,80799508,9956058
hash,2572635,137422173896,17177627857
hash,2572636,137422173904,17177627858
hash,2572637,137422173912,17177627859
hash,2572638,137422173920,17177627860
hash,2572639,137422173928,17177627861
hash,2572640,137422173936,17177627862
hash,2572641,137422173944,17177627863
hash,2572642,1175616,3072
hash,2572643,78451448,9662551
hash,2572644,137422174008,17177627871
hash,2572645,1175616,3072
hash,2572646,78451448,9662551
hash,2572647,1175649,3076
hash,2572648,137422174024,17177627873
hash,2572649,81812584,10082693
hash,2572650,137422174040,17177627875
hash,2572651,137422174048,17177627876
hash,2572652,137422174056,17177627877
hash,2572653,137422174064,17177627878
hash,2572654,137422174072,17177627879
hash,2572655,137422174080,17177627880
hash,2572656,137422174088,17177627881
hash,2572657,1175328,3036
hash,2572658,78466192,9664394
hash,2572659,1151784,93
hash,2572660,137422174056,17177627877
hash,2572661,78468008,9664621
hash,2572662,81812584,10082693
hash,2572663,78471112,9665009
hash,2572664,1175616,3072
hash,2572665,78451448,9662551
hash,2572666,1175840,3100
hash,2572667,1175656,3077
hash,2572668,137422173888,17177627856
hash,2572669,137422173896,17177627857
hash,2572670,137422173904,17177627858
hash,2572671,137422173912,17177627859
hash,2572672,137422173968,17177627866
hash,2572673,1175616,3072
hash,2572674,78451448,9662551
hash,2572675,1175640,3075
hash,2572676,1175856,3102
hash,2572677,137422173960,17177627865
hash,2572678,78474848,9665476
hash,2572679,78445160,9661765
hash,2572680,78474912,9665484
hash,2572681,78470296,9664907
hash,2572682,80795072,9955504
hash,2572683,81812560,10082690
hash,2572684,80795208,9955521
hash,2572685,80822336,9958912
hash,2572686,80799512,9956059
hash,2572687,137422173848,17177627851
hash,2572688,80795264,9955528
hash,2572689,80795288,9955531
hash,2572690,137422173848,17177627851
hash,2572691,80785512,9954309
hash,2572692,80795112,9955509
hash,2572693,80795072,9955504
hash,2572694,80795120,9955510
hash,2572695,80788400,9954670
hash,2572696,1151784,93
hash,2572697,137422173752,17177627839
hash,2572698,137422173768,17177627841
hash,2572699,137422173784,17177627843
hash,2572700,137422173792,17177627844
hash,2572701,137422173800,17177627845
hash,2572702,137422173808,17177627846
hash,2572703,137422173816,17177627847
hash,2572704,137422173824,17177627848
hash,2572705,137422173832,17177627849
